STATE_NAME	STATE_NAME_DIR	fips	scenario_type	scenario_hash	batch_num	output_path
Montana	Montana	30111	vax	954e19697a2579042c865b8bc9901e259d9183c8639304dd336291348d387e31	019c9b05-ed47-7146-80bb-b5116ca2f253	../US_Vax_Compare/input_files/Montana_954e19697a2579042c865b8bc9901e259d9183c8639304dd336291348d387e31.json
Nebraska	Nebraska	31055	baseline	720bcd99403028865dfd414c00d4e0b83ff4b99034afc06852ee2bba7a682ae1	019c9b05-ed4c-7192-809d-392a17de7578	../US_Vax_Compare/input_files/Nebraska_720bcd99403028865dfd414c00d4e0b83ff4b99034afc06852ee2bba7a682ae1.json
Nebraska	Nebraska	31055	vax	8eab8a6df6bc55c9db03d5cb986921bc606a1623af922ac189de55c06c234de5	019c9b05-ed52-735f-8083-4cd432a3f716	../US_Vax_Compare/input_files/Nebraska_8eab8a6df6bc55c9db03d5cb986921bc606a1623af922ac189de55c06c234de5.json
Nevada	Nevada	32003	baseline	5e7011e10f0c385a589611c766e3e3c4573252454a8560b85711a361246b9629	019c9b05-ed58-701d-809a-de109b1b6597	../US_Vax_Compare/input_files/Nevada_5e7011e10f0c385a589611c766e3e3c4573252454a8560b85711a361246b9629.json
Nevada	Nevada	32003	vax	5d83016d70058e37915928cbbb0ef1123f4ddd54e5fa54fedafd00dab78913e7	019c9b05-ed5e-725c-80da-960802558e32	../US_Vax_Compare/input_files/Nevada_5d83016d70058e37915928cbbb0ef1123f4ddd54e5fa54fedafd00dab78913e7.json
New Hampshire	New-Hampshire	33011	baseline	6a811ff3cb4a24bacc1c75e7d655ecdaa54587eb68ea40f5a7f8206b00203175	019c9b05-ed63-729a-8039-d3a1be430aa5	../US_Vax_Compare/input_files/New-Hampshire_6a811ff3cb4a24bacc1c75e7d655ecdaa54587eb68ea40f5a7f8206b00203175.json
New Hampshire	New-Hampshire	33011	vax	e7310fae265f528b905022c942b564a22907ea7cf2c4b6305578265e0189696e	019c9b05-ed6a-712c-80a7-631e92723d45	../US_Vax_Compare/input_files/New-Hampshire_e7310fae265f528b905022c942b564a22907ea7cf2c4b6305578265e0189696e.json
New Jersey	New-Jersey	34003	baseline	8670db37872a0659993fe2ea7bd45b5ab975e465571f4ba6244c09e82c6ee0ba	019c9b05-ed6f-720a-80a4-01fe0f1b2ad5	../US_Vax_Compare/input_files/New-Jersey_8670db37872a0659993fe2ea7bd45b5ab975e465571f4ba6244c09e82c6ee0ba.json
New Jersey	New-Jersey	34003	vax	f61cd6907eb98bb4911d54e51b8f43b03ede1ccc1c4b2e5789f376558b07039c	019c9b05-ed75-73e7-807f-69f7bf7a6571	../US_Vax_Compare/input_files/New-Jersey_f61cd6907eb98bb4911d54e51b8f43b03ede1ccc1c4b2e5789f376558b07039c.json
New Mexico	New-Mexico	35001	baseline	4ba19d252c1787fafdf1e2701137d0d9efc9d168fd66b8307b0df15df0a3d8a5	019c9b05-ed7b-7060-8084-a375115eec6f	../US_Vax_Compare/input_files/New-Mexico_4ba19d252c1787fafdf1e2701137d0d9efc9d168fd66b8307b0df15df0a3d8a5.json
